store_code,region,branch_name,display_name,open_date,address
132,전남,전남 담양점,오늘은 오므라이스 전남 담양점,2026-04-06,"전라남도 담양군 담양읍 삼거리길 12-24, 1층"
133,경기,경기 고양점,오늘은 오므라이스 경기 고양점,2026-03-30,"경기도 고양시 덕양구 혜음로 30, 103동 상가동(고양동, 삼성아파트)"
134,경북,경북 울진점,오늘은 오므라이스 경북 울진점,2026-04-01,경상북도 울진군 울진읍 울진중앙로 87
135,전남,전남 남악점,오늘은 오므라이스 전남 남악점,2026-04-14,"전라남도 무안군 삼향읍 대죽서로 20, 1층 101호, 102호 (독도프라자)"
136,충남,충남 온양온천점,오늘은 오므라이스 충남 온양온천점,2026-04-17,"충청남도 아산시 번영로216번길 37, 103호"
137,전남,전남 화순점,오늘은 오므라이스 전남 화순점,2026-04-08,전라남도 화순군 화순읍 만연로 17 (169-4)
138,경기,경기 송탄점,오늘은 오므라이스 경기 송탄점,2026-04-06,"경기도 평택시 점촌로 30, 1층(서정동)"
139,경기,경기 향남점,오늘은 오므라이스 경기 향남점,2026-04-13,"경기도 화성시 향남읍 한절이1길 6-17, 1층"
140,서울,서울 독산점,오늘은 오므라이스 서울 독산점,2026-04-16,서울특별시 금천구 독산로65길 24
141,부산,부산 대연점,오늘은 오므라이스 부산 대연점,2026-04-10,부산광역시 남구 용소로13번길 103 1층 102호
142,경남,경남 밀양점,오늘은 오므라이스 경남 밀양점,2026-04-23,경상남도 밀양시 삼문중앙로3길 29-6 1층
143,경기,경기 동백점,오늘은 오므라이스 경기 동백점,2026-05-06,"경기도 용인시 기흥구 동백5로 22, 가동 1층 139호"
144,경남,경남 김해율하점,오늘은 오므라이스 경남 김해율하점,2026-05-07,"경상남도 김해시 율하3로 27, 1층 104-2호"
145,충남,충남 당진현대제철점,오늘은 오므라이스 충남 당진현대제철점,2026-05-13,충청남도 당진시 송산면 유곡리 159-7
146,충남,충남 금산점,오늘은 오므라이스 충남 금산점,2026-05-08,"충청남도 금산군 금산읍 비호로 92, 1층"
147,경기,경기 평택포승점,오늘은 오므라이스 경기 평택포승점,2026-05-07,"경기도 평택시 포승읍 2황대길 20, 상가동 지하 1층 일부"
148,경기,경기 신현점,오늘은 오므라이스 경기 신현점,2026-05-12,"경기도 광주시 오포읍 머루숯길 8, 1층"
149,경남,경남 통영점,오늘은 오므라이스 경남 통영점,2026-05-26,"경상남도 통영시 광도면 죽림2로 76-47, 가동 1층 103호"
150,대전,대전 유성점,오늘은 오므라이스 대전 유성점,2026-05-28,"대전광역시 유성구 계룡로32번길 42, 1층(구암동)"
151,경기,경기 남양점,오늘은 오므라이스 경기 남양점,2026-05-21,"경기도 화성시 남양읍 역골로49번길 6-3, 1동 1층 101호"
152,경남,경남 거제점,오늘은 오므라이스 경남 거제점,2026-05-22,"경상남도 거제시 계룡로5길 11, 2동 1층(상동동)"
153,경기,경기 김포장기점,오늘은 오므라이스 경기 김포장기점,2026-05-21,"경기도 김포시 태장로795번길 23, R149호(장기동)"
154,경기,경기 청북점,오늘은 오므라이스 청북점,2026-05-28,경기도 평택시 청북읍 안청로2길 33-3"
155,충남,충남 송악점,오늘은 오므라이스 충남 송악점,2026-05-29,"충청남도 당진시 송악읍 신복운로7길 14, 1층"
156,충남,충남 태안점,오늘은 오므라이스 충남 태안점,2026-06-05,충청남도 태안군 태안읍 군청9길 53
157,충남,충남 청양점,오늘은 오므라이스 충남 청양점,2026-06-05,충청남도 청양군 청양읍 칠갑산로4길 36
158,충남,충남 서북구청점,오늘은 오므라이스 충남 서북구청점,2026-06-08,"충청남도 천안시 서북구 성거읍 봉주로 120"
159,충남,충남 내포점,오늘은 오므라이스 충남 내포점,2026-06-22,충청남도 예산군 삽교읍 청사로 217"
160,충남,충남 보령점,오늘은 오므라이스 충남 보령점,2026-06-22,충청남도 보령시 지장골길 100"
161,경기,경기 별내점,오늘은 오므라이스 경기 별내점,2026-06-23,경기도 남양주시 두물로27번길 35"
162,경북,경북 포항남구점,오늘은 오므라이스 경북 포항남구점,2026-06-24,경상북도 포항시 남구 상대로 124"
163,전남,전남 장흥점,오늘은 오므라이스 전남 장흥점,2026-06-25,전라남도 장흥군 장흥읍 문림로 23",
164,전남,전남 무안점,오늘은 오므라이스 전남 무안점,2026-06-25,전라남도 무안군 무안읍 창포로 39-12"
165,강원,강원 횡성점,오늘은 오므라이스 강원 횡성점,2026-06-29,강원특별자치도 횡성군 횡성읍 화성로1번길 3"
